GeneID	Symbol	Description	log2FC	Pvalue
165	AEBP1	AE binding protein 1	1.156	2.45
3899	AFF3	ALF transcription elongation factor 3	-1.512	3.008
183	AGT	angiotensinogen	1.751	3.098
191	AHCY	adenosylhomocysteinase	1.23	7.958
23382	AHCYL2	adenosylhomocysteinase like 2	-1.45	3.155
84962	AJUBA	ajuba LIM protein	2.22	10.14
57016	AKR1B10	aldo-keto reductase family 1 member B10	-1.963	2.567
441282	AKR1B15	aldo-keto reductase family 1 member B15	-2.072	2.68
220	ALDH1A3	aldehyde dehydrogenase 1 family member A3	1.066	3.453
222	ALDH3B2	aldehyde dehydrogenase 3 family member B2	2.685	3.312
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	1.209	3.147
200810	ALG1L1P	ALG1 like 1, pseudogene	1.311	3.995
389658	ALKAL1	ALK and LTK ligand 1	3.061	6.138
247	ALOX15B	arachidonate 15-lipoxygenase type B	-1.231	2.471
251	ALPG	alkaline phosphatase, germ cell	2.385	2.792
248	ALPI	alkaline phosphatase, intestinal	-2.288	4.246
270	AMPD1	adenosine monophosphate deaminase 1	-2.229	3.404
285	ANGPT2	angiopoietin 2	1.9	7.546
9068	ANGPTL1	angiopoietin like 1	-1.731	2.31
288	ANK3	ankyrin 3	-1.206	5.63
124930	ANKRD13B	ankyrin repeat domain 13B	1.464	3.686
84210	ANKRD20A1	ankyrin repeat domain 20 family member A1	-1.47	2.587
441430	ANKRD20A2P	ankyrin repeat domain 20 family member A2, pseudogene	-1.644	3.445
441425	ANKRD20A3P	ankyrin repeat domain 20 family member A3, pseudogene	-1.556	3.133
110006327	ANKRD20A4-ANKRD20A20P	ANKRD20A4-ANKRD20A20P readthrough	-1.473	2.158
651746	ANKRD33B	ankyrin repeat domain 33B	-1.163	5.191
645784	ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2	-1.897	3.749
55018	ANKRD40CL	ANKRD40 C-terminal like	-1.054	2.525
54443	ANLN	anillin, actin binding protein	2.253	10.179
3730	ANOS1	anosmin 1	2.692	13.244
84168	ANTXR1	ANTXR cell adhesion molecule 1	1.078	2.538
306	ANXA3	annexin A3	1.324	5.48
130340	AP1S3	adaptor related protein complex 1 subunit sigma 3	1.036	3.07
51074	APIP	APAF1 interacting protein	1.053	3.701
200558	APLF	aprataxin and PNKP like factor	1.087	4.337
8862	APLN	apelin	2.538	6.703
9582	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	-1.344	3.207
100874530	APOBEC3B-AS1	APOBEC3B antisense RNA 1	-1.076	2.608
81575	APOLD1	apolipoprotein L domain containing 1	1.983	5.191
55198	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	-1.183	6.096
343	AQP8	aquaporin 8	-2.773	2.806
366	AQP9	aquaporin 9	3.142	7.757
374	AREG	amphiregulin	1.812	3.686
57569	ARHGAP20	Rho GTPase activating protein 20	-1.097	2.057
9912	ARHGAP44	Rho GTPase activating protein 44	-1.349	2.855
1820	ARID3A	AT-rich interaction domain 3A	1.702	5.332
80117	ARL14	ADP ribosylation factor like GTPase 14	-1.415	3.775
9915	ARNT2	aryl hydrocarbon receptor nuclear translocator 2	-1.032	2.13
340075	ARSI	arylsulfatase family member I	1.113	2.71
140462	ASB9	ankyrin repeat and SOCS box containing 9	1.404	4.703
430	ASCL2	achaete-scute family bHLH transcription factor 2	2.637	7.405
41	ASIC1	acid sensing ion channel subunit 1	1.191	2.594
443	ASPA	aspartoacylase	-1.453	2.245
253982	ASPHD1	aspartate beta-hydroxylase domain containing 1	1.686	7.143
259266	ASPM	assembly factor for spindle microtubules	1.111	3.105
29028	ATAD2	ATPase family AAA domain containing 2	1.501	7.199
219293	ATAD3C	ATPase family AAA domain containing 3C	1.297	2.412
285973	ATG9B	autophagy related 9B	2.216	9.268
23250	ATP11A	ATPase phospholipid transporting 11A	1.76	11.014
482	ATP1B2	ATPase Na+/K+ transporting subunit beta 2	-1.439	4.43
245972	ATP6V0D2	ATPase H+ transporting V0 subunit d2	-1.821	4.371
100130705	ATP6V1FNB	ATP6V1F neighbor	1.422	4.231
534	ATP6V1G2	ATPase H+ transporting V1 subunit G2	-1.467	3.139
6790	AURKA	aurora kinase A	1.353	4.575
10677	AVIL	advillin	-1.126	3.762
553	AVPR1B	arginine vasopressin receptor 1B	-2.355	2.311
8313	AXIN2	axin 2	1.097	2.292
563	AZGP1	alpha-2-glycoprotein 1, zinc-binding	2.111	3.809
338707	B4GALNT4	beta-1,4-N-acetyl-galactosaminyltransferase 4	1.966	3.8
25825	BACE2	beta-secretase 2	1.175	4.055
60468	BACH2	BTB domain and CNC homolog 2	-1.015	2.335
55024	BANK1	B cell scaffold protein with ankyrin repeats 1	-1.262	2.59
103695435	BBOX1-AS1	BBOX1 antisense RNA 1	3.22	3.944
596	BCL2	BCL2 apoptosis regulator	-1.189	4.624
597	BCL2A1	BCL2 related protein A1	1.416	2.995
389206	BEND4	BEN domain containing 4	-1.734	4.641
79656	BEND5	BEN domain containing 5	-1.568	3.967
266675	BEST4	bestrophin 4	-4.412	12.633
631	BFSP1	beaded filament structural protein 1	1.613	4.894
632	BGLAP	bone gamma-carboxyglutamate protein	-1.034	2.583
633	BGN	biglycan	2.776	9.91
168620	BHLHA15	basic helix-loop-helix family member a15	-1.137	2.506
8553	BHLHE40	basic helix-loop-helix family member e40	1.272	4.969
100507582	BHLHE40-AS1	BHLHE40 antisense RNA 1	1.137	4.379
636	BICD1	BICD cargo adaptor 1	1.124	6.15
332	BIRC5	baculoviral IAP repeat containing 5	1.102	3.26
79444	BIRC7	baculoviral IAP repeat containing 7	1.576	2.509
101669762	BLACAT1	BLACAT1 overlapping LEMD1 locus	3.969	9.246
640	BLK	BLK proto-oncogene, Src family tyrosine kinase	-1.946	4.359
56938	BMAL2	basic helix-loop-helix ARNT like 2	1.9	13.435
101928646	BMAL2-AS1	BMAL2 antisense RNA 1	1.868	6.403
650	BMP2	bone morphogenetic protein 2	-1.265	3.848
653	BMP5	bone morphogenetic protein 5	-1.788	2.891
655	BMP7	bone morphogenetic protein 7	1.961	2.607
100379249	BOK-AS1	BOK antisense RNA 1	1.292	3.047
23246	BOP1	BOP1 ribosomal biogenesis factor	1.148	5.122
672	BRCA1	BRCA1 DNA repair associated	1.106	4.71
675	BRCA2	BRCA2 DNA repair associated	1.613	6.718
55299	BRIX1	biogenesis of ribosomes BRX1	1.063	6.092
118663	BTBD16	BTB domain containing 16	1.738	3.299
151888	BTLA	B and T lymphocyte associated	-1.3	3.128
79908	BTNL8	butyrophilin like 8	-1.556	2.075
699	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	1.193	3.649
701	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	1.219	4.084
705	BYSL	bystin like	1.283	9.364
414152	C10orf105	chromosome 10 open reading frame 105	-1.355	3.456
414236	C10orf55	chromosome 10 putative open reading frame 55	1.869	7.845
254439	C11orf86	chromosome 11 open reading frame 86	-2.136	2.696
400258	C14orf180	chromosome 14 open reading frame 180	-2.433	2.96
283897	C16orf54	chromosome 16 open reading frame 54	-1.426	4.259
404550	C16orf74	chromosome 16 open reading frame 74	-1.187	2.775
79762	C1orf115	chromosome 1 open reading frame 115	-1.537	4.68
149466	C1orf210	chromosome 1 open reading frame 210	-1.022	2.135
114902	C1QTNF5	C1q and TNF related 5	1.34	4.265
114905	C1QTNF7	C1q and TNF related 7	-1.613	3.125
387911	C1QTNF9B	C1q and TNF related 9B	1.057	2.812
717	C2	complement C2	1.351	3.034
102060414	C2-AS1	C2 antisense RNA 1	1.719	2.888
145741	C2CD4A	C2 calcium dependent domain containing 4A	2.82	6.183
388125	C2CD4B	C2 calcium dependent domain containing 4B	1.143	2.8
29798	C2orf27A	chromosome 2 open reading frame 27A	1.475	6.332
84281	C2orf88	chromosome 2 open reading frame 88	-1.819	3.396
375444	C5orf34	chromosome 5 open reading frame 34	1.125	4.16
389336	C5orf46	chromosome 5 open reading frame 46	5.468	8.171
759	CA1	carbonic anhydrase 1	-2.506	2.45
771	CA12	carbonic anhydrase 12	-1.45	2.768
760	CA2	carbonic anhydrase 2	-2.097	3.51
100996348	CA3-AS1	CA3 antisense RNA 1	-1.715	5.178
762	CA4	carbonic anhydrase 4	-2.187	3.959
766	CA7	carbonic anhydrase 7	-3.904	7.265
768	CA9	carbonic anhydrase 9	4.239	9.556
773	CACNA1A	calcium voltage-gated channel subunit alpha1 A	-1.234	2.071
775	CACNA1C	calcium voltage-gated channel subunit alpha1 C	1.769	5.125
776	CACNA1D	calcium voltage-gated channel subunit alpha1 D	1.06	3.963
781	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	1.091	2.442
59283	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	3.062	8.439
8618	CADPS	calcium dependent secretion activator	1.697	4.766
800	CALD1	caldesmon 1	1.625	5.39
441884	CALR4P	calreticulin 4, pseudogene	-1.259	3.316
813	CALU	calumenin	1.133	7.905
815	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	-1.031	2.471
92291	CAPN13	calpain 13	-1.509	2.446
146206	CARMIL2	capping protein regulator and myosin 1 linker 2	-1.116	3.567
401237	CASC15	cancer susceptibility 15	1.721	3.524
103021165	CASC19	cancer susceptibility 19	3.721	8.172
103021164	CASC21	cancer susceptibility 21	3.716	7.347
727677	CASC8	cancer susceptibility 8	2.213	4.726
197350	CASP16P	caspase 16, pseudogene	-1.417	2.872
57828	CATSPERG	cation channel sperm associated auxiliary subunit gamma	-1.081	2.797
79872	CBLL1	Cbl proto-oncogene like 1	-1.061	7.993
84733	CBX2	chromobox 2	2.33	6.944
11335	CBX3	chromobox 3	1.125	7.637
100507056	CCAT1	colon cancer associated transcript 1	3.973	15.689
29070	CCDC113	coiled-coil domain containing 113	1.546	7.737
152206	CCDC13	coiled-coil domain containing 13	-1.285	4.338
440416	CCDC144NL-AS1	CCDC144NL antisense RNA 1	1.722	5.202
284992	CCDC150	coiled-coil domain containing 150	1.269	3.884
283152	CCDC153	coiled-coil domain containing 153	-1.064	4.045
80323	CCDC68	coiled-coil domain containing 68	-1.474	4.182
124093	CCDC78	coiled-coil domain containing 78	1.771	5.402
79080	CCDC86	coiled-coil domain containing 86	1.099	6.409
101928991	CCDC92B	coiled-coil domain containing 92B	-1.257	2.204
6368	CCL23	C-C motif chemokine ligand 23	-1.778	4.375
6352	CCL5	C-C motif chemokine ligand 5	-1.477	4.714
8840	CCN4	cellular communication network factor 4	2.896	10.608
890	CCNA2	cyclin A2	1.027	3.002
891	CCNB1	cyclin B1	1.162	3.441
595	CCND1	cyclin D1	1.14	6.54
899	CCNF	cyclin F	1.17	4.311
79616	CCNJL	cyclin J like	-1.006	2.175
10309	CCNO	cyclin O	2.042	4.171
79935	CCNP	cyclin P	3.956	9.968
729230	CCR2	C-C motif chemokine receptor 2	-1.066	2.353
102724297	CCR5AS	CCR5 antisense RNA	1.146	2.381
1237	CCR8	C-C motif chemokine receptor 8	2.52	6.279
908	CCT6A	chaperonin containing TCP1 subunit 6A	1.095	8.302
11126	CD160	CD160 molecule	-1.841	4.127
283316	CD163L1	CD163 molecule like 1	-2.064	5.821
930	CD19	CD19 molecule	-1.564	3.99
131450	CD200R1	CD200 receptor 1	-1.097	2.435
933	CD22	CD22 molecule	-1.636	4.375
342510	CD300E	CD300e molecule	1.687	3.192
146723	CD300LD-AS1	CD300LD antisense RNA 1	3.018	2.807
916	CD3E	CD3 epsilon subunit of T-cell receptor complex	-1.092	3.15
960	CD44	CD44 molecule (Indian blood group)	1.09	4.291
962	CD48	CD48 molecule	-1.128	3.763
1604	CD55	CD55 molecule (Cromer blood group)	1.095	2.441
924	CD7	CD7 molecule	-1.284	3.67
973	CD79A	CD79a molecule	-1.732	4.022
974	CD79B	CD79b molecule	-1.356	3.545
925	CD8A	CD8a molecule	-1.304	3.499
926	CD8B	CD8b molecule	-1.079	2.843
10225	CD96	CD96 molecule	-1.206	3.414
8556	CDC14A	cell division cycle 14A	-1.348	7.234
993	CDC25A	cell division cycle 25A	1.144	3.135
994	CDC25B	cell division cycle 25B	1.425	5.216
8318	CDC45	cell division cycle 45	1.288	3.833
990	CDC6	cell division cycle 6	1.554	7.143
83461	CDCA3	cell division cycle associated 3	1.202	4.168
113130	CDCA5	cell division cycle associated 5	1.467	5.415
83879	CDCA7	cell division cycle associated 7	1.451	4.294
1009	CDH11	cadherin 11	1.393	5.357
1014	CDH16	cadherin 16	1.727	2.157
1001	CDH3	cadherin 3	3.99	11.095
1004	CDH6	cadherin 6	1.339	4.988
54825	CDHR2	cadherin related family member 2	-1.153	2.217
53841	CDHR5	cadherin related family member 5	-1.157	2.356
983	CDK1	cyclin dependent kinase 1	1.51	5.084
1024	CDK8	cyclin dependent kinase 8	1.273	4.996
1029	CDKN2A	cyclin dependent kinase inhibitor 2A	1.493	3.722
1030	CDKN2B	cyclin dependent kinase inhibitor 2B	-1.701	3.456
100048912	CDKN2B-AS1	CDKN2B antisense RNA 1	-1.84	2.084
1033	CDKN3	cyclin dependent kinase inhibitor 3	1.132	3.129
30850	CDR2L	cerebellar degeneration related protein 2 like	1.125	3.331
81620	CDT1	chromatin licensing and DNA replication factor 1	1.1	3.307
634	CEACAM1	CEA cell adhesion molecule 1	-1.253	2.568
90273	CEACAM21	CEA cell adhesion molecule 21	-1.097	3.452
1087	CEACAM7	CEA cell adhesion molecule 7	-1.861	2.137
1051	CEBPB	CCAAT enhancer binding protein beta	1.25	7.601
101927559	CEBPB-AS1	CEBPB antisense RNA 1	1.023	5.569
100130418	CECR7	cat eye syndrome chromosome region, candidate 7	-1.249	2.696
1056	CEL	carboxyl ester lipase	3.736	7.662
1057	CELP	carboxyl ester lipase pseudogene	2.833	5.869
9620	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1	1.526	4.232
1951	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	1.874	6.377
57214	CEMIP	cell migration inducing hyaluronidase 1	3.747	14.568
1058	CENPA	centromere protein A	1.136	3.178
1062	CENPE	centromere protein E	1.004	2.589
1063	CENPF	centromere protein F	1.199	3.301
2491	CENPI	centromere protein I	1.319	4.11
387103	CENPW	centromere protein W	1.283	3.93
55165	CEP55	centrosomal protein 55	1.437	4.807
55722	CEP72	centrosomal protein 72	1.183	5.483
51148	CERCAM	cerebral endothelial cell adhesion molecule	1.041	2.338
23491	CES3	carboxylesterase 3	-1.456	3.306
286207	CFAP157	cilia and flagella associated protein 157	1.212	5.614
200844	CFAP20DC	CFAP20 domain containing	1.54	3.264
144406	CFAP251	cilia and flagella associated protein 251	2.071	9.339
85016	CFAP300	cilia and flagella associated protein 300	1.162	2.46
25790	CFAP45	cilia and flagella associated protein 45	1.073	2.006
629	CFB	complement factor B	1.589	2.818
1675	CFD	complement factor D	-1.714	3.298
3426	CFI	complement factor I	1.932	4.239
10669	CGREF1	cell growth regulator with EF-hand domain 1	2.253	9.392
1101	CHAD	chondroadherin	-1.355	2.544
8208	CHAF1B	chromatin assembly factor 1 subunit B	1.118	4.469
1111	CHEK1	checkpoint kinase 1	1.077	5.224
1116	CHI3L1	chitinase 3 like 1	1.765	2.309
140578	CHODL	chondrolectin	-1.099	2.577
63928	CHP2	calcineurin like EF-hand protein 2	-1.94	2.458
79586	CHPF	chondroitin polymerizing factor	1.185	4.678
25884	CHRDL2	chordin like 2	3.551	7.265
337876	CHSY3	chondroitin sulfate synthase 3	1.629	7.702
137392	CIBAR1	CBY1 interacting BAR domain containing 1	1.032	5.983
63924	CIDEC	cell death inducing DFFA like effector c	-1.97	3.523
148113	CILP2	cartilage intermediate layer protein 2	3.054	8.114
57650	CIP2A	cellular inhibitor of PP2A	1.162	4.486
10370	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	-1.041	4.329
26586	CKAP2	cytoskeleton associated protein 2	1.496	6.376
150468	CKAP2L	cytoskeleton associated protein 2 like	1.449	5.244
1152	CKB	creatine kinase B	-1.663	3.162
1160	CKMT2	creatine kinase, mitochondrial 2	2.724	5.529
1164	CKS2	CDC28 protein kinase regulatory subunit 2	1.425	6.445
22802	CLCA4	chloride channel accessory 4	-3.141	3.058
105378828	CLCA4-AS1	CLCA4 antisense RNA 1	-3.097	4.437
1183	CLCN4	chloride voltage-gated channel 4	1.269	2.919
9076	CLDN1	claudin 1	4.067	18.463
23562	CLDN14	claudin 14	2.704	3.661
105369301	CLDN14-AS1	CLDN14 antisense RNA 1	2.102	5.501
10686	CLDN16	claudin 16	2.92	5.617
9075	CLDN2	claudin 2	3.548	4.988
137075	CLDN23	claudin 23	-1.726	5.168
9080	CLDN9	claudin 9	1.777	3.375
388512	CLEC17A	C-type lectin domain containing 17A	-1.272	2.148
7123	CLEC3B	C-type lectin domain family 3 member B	-1.562	2.854
23601	CLEC5A	C-type lectin domain containing 5A	4.133	13.278
283420	CLEC9A	C-type lectin domain containing 9A	-1.859	6.178
160365	CLECL1P	C-type lectin like 1, pseudogene	-1.515	5.061
53405	CLIC5	chloride intracellular channel 5	-1.184	2.825
101927096	CLMAT3	colorectal liver metastasis associated transcript 3	2.055	8.275
63967	CLSPN	claspin	1.119	2.698
134147	CMBL	carboxymethylenebutenolidase homolog	-1.117	2.609
84319	CMSS1	cms1 ribosomal small subunit homolog	1.241	6.998
1258	CNGB1	cyclic nucleotide gated channel subunit beta 1	-2.251	4.174
149111	CNIH3	cornichon family AMPA receptor auxiliary protein 3	1.169	4.449
1265	CNN2	calponin 2	1.09	5.597
26504	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	-1.066	3.819
1269	CNR2	cannabinoid receptor 2	-1.768	3.821
1272	CNTN1	contactin 1	-1.787	2.486
152330	CNTN4	contactin 4	-1.198	2.868
100873975	CNTN4-AS1	CNTN4 antisense RNA 1	-1.419	4.178
1300	COL10A1	collagen type X alpha 1 chain	6.052	19.471
1301	COL11A1	collagen type XI alpha 1 chain	5.355	22.009
1303	COL12A1	collagen type XII alpha 1 chain	1.988	7.41
1306	COL15A1	collagen type XV alpha 1 chain	1.339	3.308
80781	COL18A1	collagen type XVIII alpha 1 chain	1.334	3.435
1310	COL19A1	collagen type XIX alpha 1 chain	-1.855	3.168
1277	COL1A1	collagen type I alpha 1 chain	3.04	12.088
1278	COL1A2	collagen type I alpha 2 chain	2.125	8.381
169044	COL22A1	collagen type XXII alpha 1 chain	1.892	3.371
85301	COL27A1	collagen type XXVII alpha 1 chain	1.343	3.837
1281	COL3A1	collagen type III alpha 1 chain	2.01	7.177
1282	COL4A1	collagen type IV alpha 1 chain	2.102	7.199
1284	COL4A2	collagen type IV alpha 2 chain	1.307	3.102
100129836	COL4A2-AS2	COL4A2 antisense RNA 2	1.421	3.626
1285	COL4A3	collagen type IV alpha 3 chain	-1.136	2.477
1289	COL5A1	collagen type V alpha 1 chain	1.724	6.492
1290	COL5A2	collagen type V alpha 2 chain	1.972	9.037
50509	COL5A3	collagen type V alpha 3 chain	1.147	2.807
1293	COL6A3	collagen type VI alpha 3 chain	1.582	4.391
1294	COL7A1	collagen type VII alpha 1 chain	1.803	6.355
1295	COL8A1	collagen type VIII alpha 1 chain	2.76	9.567
1297	COL9A1	collagen type IX alpha 1 chain	1.635	3.396
1311	COMP	cartilage oligomeric matrix protein	5.463	8.831
10699	CORIN	corin, serine peptidase	2.754	7.502
10391	CORO2B	coronin 2B	-1.188	2.503
1368	CPM	carboxypeptidase M	-1.236	2.917
1369	CPN1	carboxypeptidase N subunit 1	2.758	2.784
8904	CPNE1	copine 1	1.073	5.016
57699	CPNE5	copine 5	-1.28	5.326
27132	CPNE7	copine 7	3.611	8.279
144402	CPNE8	copine 8	-1.21	3.432
107984504	CPNE8-AS1	CPNE8 antisense RNA 1	-1.099	2.43
1373	CPS1	carbamoyl-phosphate synthase 1	1.737	2.015
56265	CPXM1	carboxypeptidase X, M14 family member 1	2.47	8.581
8532	CPZ	carboxypeptidase Z	1.236	2.796
1380	CR2	complement C3d receptor 2	-2.2	3.306
1382	CRABP2	cellular retinoic acid binding protein 2	1.836	2.673
57482	CRACD	capping protein inhibiting regulator of actin dynamics	-1.15	2.996
84699	CREB3L3	cAMP responsive element binding protein 3 like 3	-2.662	4.582
200407	CREG2	cellular repressor of E1A stimulated genes 2	1.96	2.962
83690	CRISPLD1	cysteine rich secretory protein LCCL domain containing 1	1.087	2.048
643911	CRNDE	colorectal neoplasia differentially expressed	1.908	2.365
56253	CRTAM	cytotoxic and regulatory T cell molecule	-1.065	2.388
111240474	CRYZL2P-SEC16B	CRYZL2P-SEC16B readthrough	1.027	2.557
1434	CSE1L	chromosome segregation 1 like	1.358	9.534
1440	CSF3	colony stimulating factor 3	3.506	6.102
1441	CSF3R	colony stimulating factor 3 receptor	1.041	2.31
114784	CSMD2	CUB and Sushi multiple domains 2	1.885	3.811
1469	CST1	cystatin SN	3.641	4.294
1470	CST2	cystatin SA	4.11	7.045
1472	CST4	cystatin S	3.174	2.742
115908	CTHRC1	collagen triple helix repeat containing 1	3.911	17.143
29119	CTNNA3	catenin alpha 3	-1.4	2.03
1501	CTNND2	catenin delta 2	-1.507	2.497
1503	CTPS1	CTP synthase 1	1.296	4.69
1515	CTSV	cathepsin V	1.454	2.73
1521	CTSW	cathepsin W	-1.518	3.863
404217	CTXN1	cortexin 1	2.48	6.183
80157	CWH43	cell wall biogenesis 43 C-terminal homolog	-2.103	2.212
2919	CXCL1	C-X-C motif chemokine ligand 1	2.294	5.115
6373	CXCL11	C-X-C motif chemokine ligand 11	2.276	3.461
2920	CXCL2	C-X-C motif chemokine ligand 2	2.14	5.02
2921	CXCL3	C-X-C motif chemokine ligand 3	2.101	4.971
6374	CXCL5	C-X-C motif chemokine ligand 5	3.12	6.253
6372	CXCL6	C-X-C motif chemokine ligand 6	2.064	3.578
3576	CXCL8	C-X-C motif chemokine ligand 8	3.363	9.471
3577	CXCR1	C-X-C motif chemokine receptor 1	1.924	3.468
3579	CXCR2	C-X-C motif chemokine receptor 2	1.681	3.331
1594	CYP27B1	cytochrome P450 family 27 subfamily B member 1	1.309	4.232
1555	CYP2B6	cytochrome P450 family 2 subfamily B member 6	1.621	2.298
1556	CYP2B7P	cytochrome P450 family 2 subfamily B member 7, pseudogene	-1.368	2.89
54905	CYP2W1	cytochrome P450 family 2 subfamily W member 1	2.187	2.831
1576	CYP3A4	cytochrome P450 family 3 subfamily A member 4	-2.205	3.166
66002	CYP4F12	cytochrome P450 family 4 subfamily F member 12	-1.041	3.433
388514	CYP4F24P	cytochrome P450 family 4 subfamily F member 24, pseudogene	-1.523	2.466
54055	CYP4F29P	cytochrome P450 family 4 subfamily F member 29, pseudogene	-1.538	3.308
260293	CYP4X1	cytochrome P450 family 4 subfamily X member 1	1.691	3.379
1600	DAB1	DAB adaptor protein 1	1.06	2.202
1602	DACH1	dachshund family transcription factor 1	1.75	4.009
1610	DAO	D-amino acid oxidase	-2.759	4.282
79007	DBNDD1	dysbindin domain containing 1	1.789	6.315
25879	DCAF13	DDB1 and CUL4 associated factor 13	1.193	7.353
140947	DCANP1	dendritic cell associated nuclear protein 1	-1.014	2.088
85443	DCLK3	doublecortin like kinase 3	1.399	3.172
220042	DDIAS	DNA damage induced apoptosis suppressor	1.603	5.759
54541	DDIT4	DNA damage inducible transcript 4	1.334	2.902
23109	DDN	dendrin	3.404	9.338
9188	DDX21	DExD-box helicase 21	1.284	6.877
55601	DDX60	DExD/H-box helicase 60	-1.032	3.86
1671	DEFA6	defensin alpha 6	2.737	2.389
91319	DERL3	derlin 3	-1.224	3.025
84649	DGAT2	diacylglycerol O-acyltransferase 2	1.915	7.162
9162	DGKI	diacylglycerol kinase iota	1.301	2.071
1717	DHCR7	7-dehydrocholesterol reductase	1.198	4.557
27294	DHDH	dihydrodiol dehydrogenase	1.17	2.111
79154	DHRS11	dehydrogenase/reductase 11	-1.577	4.672
10202	DHRS2	dehydrogenase/reductase 2	2.036	3.096
81624	DIAPH3	diaphanous related formin 3	1.7	5.254
1734	DIO2	iodothyronine deiodinase 2	1.645	3.231
54769	DIRAS2	DIRAS family GTPase 2	-1.448	2.488
85455	DISP2	dispatched RND transporter family member 2	-1.494	3.853
1736	DKC1	dyskerin pseudouridine synthase 1	1.123	7.095
27123	DKK2	dickkopf WNT signaling pathway inhibitor 2	2.475	2.828
220107	DLEU7	deleted in lymphocytic leukemia 7	1.336	5.171
84777	DLGAP1-AS2	DLGAP1 antisense RNA 2	1.295	3.002
9787	DLGAP5	DLG associated protein 5	1.047	3.077
63951	DMRTA1	DMRT like family A1	-1.619	2.27
1763	DNA2	DNA replication helicase/nuclease 2	1.101	3.629
23639	DNAAF11	dynein axonemal assembly factor 11	1.305	3.927
161582	DNAAF4	dynein axonemal assembly factor 4	1.51	4.723
