GeneID	Symbol	Description	log2(fold change)(cancer primaire vs controle)	-log10(Pvalue)(cancer primaire vs controle)	log2(fold change)(controle vs metastase)	-log10(Pvalue)(controle vs metastase)
2827	GPR3	G protein-coupled receptor 3	2.138	4.248	-2.394	5.812
105378625	LOC105378625	uncharacterized LOC105378625	-2.187	2.771	2.7	4.361
90853	SPOCD1	SPOC domain containing 1	1.735	4.378	-2.411	8.995
127534	GJB4	gap junction protein beta 4	2.584	4.93	-3.09	7.63
63967	CLSPN	claspin	1.119	2.698	-1.659	6.112
1441	CSF3R	colony stimulating factor 3 receptor	1.041	2.31	-1.645	5.817
26508	HEYL	hes related family bHLH transcription factor with YRPW motif like	1.25	4.058	-1.79	8.773
65243	ZFP69B	ZFP69 zinc finger protein B	1.179	5.25	-1.346	7.446
1503	CTPS1	CTP synthase 1	1.296	4.69	-1.855	10.152
1907	EDN2	endothelin 2	-1.598	2.28	2.27	4.682
284716	RIMKLA	ribosomal modification protein rimK like family member A	-1.362	2.901	1.63	4.449
149466	C1orf210	chromosome 1 open reading frame 210	-1.022	2.135	1.275	3.481
11004	KIF2C	kinesin family member 2C	1.195	3.972	-1.337	5.422
266675	BEST4	bestrophin 4	-4.412	12.633	5.89	24.797
10420	TESK2	testis associated actin remodelling kinase 2	-1.109	6.894	1.095	7.425
8438	RAD54L	RAD54 like	1.05	3.087	-1.379	5.629
260293	CYP4X1	cytochrome P450 family 4 subfamily X member 1	1.691	3.379	-2.128	5.724
79656	BEND5	BEN domain containing 5	-1.568	3.967	2.298	8.552
105378720	EPS15-AS1	EPS15 antisense RNA 1	-1.058	3.118	1.386	5.572
441884	CALR4P	calreticulin 4, pseudogene	-1.259	3.316	1.661	5.66
6512	SLC1A7	solute carrier family 1 member 7	1.872	2.513	-2.31	4.051
7804	LRP8	LDL receptor related protein 8	2.233	10.742	-2.48	14.63
105378728	LOC105378728	uncharacterized LOC105378728	2.366	7.065	-2.533	8.86
105378726	LOC105378726	uncharacterized LOC105378726	1.887	5.169	-2.242	7.96
55001	TTC22	tetratricopeptide repeat domain 22	-1.135	2.421	2.026	7.664
163747	LEXM	lymphocyte expansion molecule	-1.637	3.264	1.972	4.943
255738	PCSK9	proprotein convertase subtilisin/kexin type 9	1.918	3.92	-2.652	7.932
1600	DAB1	DAB adaptor protein 1	1.06	2.202	-1.812	6.521
4070	TACSTD2	tumor associated calcium signal transducer 2	2.829	5.976	-4.36	15.164
105378763	LINC01748	long intergenic non-protein coding RNA 1748	3.037	5.155	-3.072	5.843
79819	DNAI4	dynein axonemal intermediate chain 4	-1.547	3.727	2.065	7.013
57554	LRRC7	leucine rich repeat containing 7	-1.756	4.723	2.138	7.227
22802	CLCA4	chloride channel accessory 4	-3.141	3.058	3.596	4.341
105378828	CLCA4-AS1	CLCA4 antisense RNA 1	-3.097	4.437	3.669	6.745
253152	EPHX4	epoxide hydrolase 4	3.719	13.049	-3.475	12.503
8556	CDC14A	cell division cycle 14A	-1.348	7.234	1.767	13.364
1301	COL11A1	collagen type XI alpha 1 chain	5.355	22.009	-4.152	14.268
2946	GSTM2	glutathione S-transferase mu 2	-1.232	2.836	1.678	5.492
2949	GSTM5	glutathione S-transferase mu 5	-1.544	2.735	2.185	5.635
9122	SLC16A4	solute carrier family 16 member 4	1.065	2.788	-1.447	5.388
3738	KCNA3	potassium voltage-gated channel subfamily A member 3	-1.545	3.886	1.593	4.571
128344	PIFO	primary cilia formation	1.984	3.631	-1.722	3.12
5016	OVGP1	oviductal glycoprotein 1	1.015	4.499	-1.167	6.472
79084	WDR77	WD repeat domain 77	1.09	7.49	-1.188	9.75
100996702	LINC01356	long intergenic non-protein coding RNA 1356	1.894	5.35	-1.628	4.458
100506392	SLC16A1-AS1	SLC16A1 antisense RNA 1	1.076	3.095	-1.341	5.137
270	AMPD1	adenosine monophosphate deaminase 1	-2.229	3.404	3.321	7.746
105378918	LOC105378918	uncharacterized LOC105378918	-1.266	2.015	1.739	3.729
54855	TENT5C	terminal nucleotidyltransferase 5C	-1.515	4.565	1.999	8.466
2210	FCGR1BP	Fc gamma receptor Ib, pseudogene	1.555	4.239	-2.424	10.917
100132417	FCGR1CP	Fc gamma receptor Ic, pseudogene	1.776	4.861	-2.47	10.082
554282	FAM72C	family with sequence similarity 72 member C	1.129	3.201	-1.587	6.656
728833	FAM72D	family with sequence similarity 72 member D	1.287	4.038	-1.665	7.23
11126	CD160	CD160 molecule	-1.841	4.127	1.841	4.562
2209	FCGR1A	Fc gamma receptor Ia	1.679	5.909	-2.457	13.568
440689	H2BC18	H2B clustered histone 18	1.312	3.955	-1.193	3.69
8991	SELENBP1	selenium binding protein 1	-1.401	3.226	2.362	9.383
6282	S100A11	S100 calcium binding protein A11	1.578	8.303	-1.824	12.189
6280	S100A9	S100 calcium binding protein A9	1.93	4.621	-1.969	5.329
6279	S100A8	S100 calcium binding protein A8	1.743	3.672	-2.13	5.894
6273	S100A2	S100 calcium binding protein A2	3.356	7.556	-3.628	9.689
1944	EFNA3	ephrin A3	1.423	2.849	-1.747	4.579
92312	MEX3A	mex-3 RNA binding family member A	2.614	9.031	-2.552	9.547
632	BGLAP	bone gamma-carboxyglutamate protein	-1.034	2.583	1.284	4.091
128229	TSACC	TSSK6 activating cochaperone	1.181	2.463	-1.668	5.167
128239	IQGAP3	IQ motif containing GTPase activating protein 3	1.673	5.761	-1.879	7.913
83416	FCRL5	Fc receptor like 5	-1.322	2.083	1.683	3.517
83417	FCRL4	Fc receptor like 4	-2.622	4.669	3.944	9.855
115352	FCRL3	Fc receptor like 3	-1.545	2.654	1.586	3.068
79368	FCRL2	Fc receptor like 2	-1.772	3.384	2.799	8.534
115350	FCRL1	Fc receptor like 1	-1.757	3.169	2.328	5.815
25790	CFAP45	cilia and flagella associated protein 45	1.073	2.006	-1.469	3.885
57549	IGSF9	immunoglobulin superfamily member 9	-1.037	2.554	1.247	3.926
89886	SLAMF9	SLAM family member 9	-1.336	3.237	1.717	5.658
100505633	LINC01133	long intergenic non-protein coding RNA 1133	-1.246	2.338	2.209	7.274
57823	SLAMF7	SLAM family member 7	-1.442	3.605	1.531	4.475
4063	LY9	lymphocyte antigen 9	-1.816	6.221	1.658	5.817
81607	NECTIN4	nectin cell adhesion molecule 4	1.231	2.44	-1.411	3.443
9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	2.364	6.063	-2.469	7.275
4359	MPZ	myelin protein zero	-1.307	3.747	1.899	8.206
2215	FCGR3B	Fc gamma receptor IIIb	1.998	4.799	-2.973	11.24
84824	FCRLA	Fc receptor like A	-1.829	4.138	2.743	9.537
5999	RGS4	regulator of G protein signaling 4	1.604	2.668	-2.171	5.102
83540	NUF2	NUF2 component of NDC80 kinetochore complex	1.519	4.479	-1.716	6.244
387597	ILDR2	immunoglobulin like domain containing receptor 2	1.682	5.356	-1.232	3.341
105371600	LOC105371600	uncharacterized LOC105371600	-1.193	2.081	1.581	3.759
10223	GPA33	glycoprotein A33	-1.289	2.638	2.083	6.998
6401	SELE	selectin E	3.189	8.336	-2.802	7.256
100506023	LOC100506023	uncharacterized LOC100506023	-1.225	5.995	1.607	10.488
101928673	PRDX6-AS1	PRDX6 antisense RNA 1	-1.248	3.724	2.045	8.847
26770	SNORD79	small nucleolar RNA, C/D box 79	1.073	3.487	-1.34	5.846
692198	SNORD78	small nucleolar RNA, C/D box 78	1.125	2.555	-1.2	3.155
102724661	LINC01645	long intergenic non-protein coding RNA 1645	-2.007	3.099	2.291	4.289
111240474	CRYZL2P-SEC16B	CRYZL2P-SEC16B readthrough	1.027	2.557	-1.514	5.694
89866	SEC16B	SEC16 homolog B, endoplasmic reticulum export factor	1.082	2.824	-1.822	8.13
9068	ANGPTL1	angiopoietin like 1	-1.731	2.31	1.524	2.039
6004	RGS16	regulator of G protein signaling 16	1.711	6.484	-2.028	9.849
6003	RGS13	regulator of G protein signaling 13	-1.964	3.788	2.667	7.175
259266	ASPM	assembly factor for spindle microtubules	1.111	3.105	-1.369	5.037
2494	NR5A2	nuclear receptor subfamily 5 group A member 2	-1.035	2.591	1.186	3.653
9928	KIF14	kinesin family member 14	1.484	4.857	-1.72	7.092
647215	MROH3P	maestro heat like repeat family member 3, pseudogene	-1.592	2.752	2.906	8.921
5317	PKP1	plakophilin 1	1.846	2.252	-1.68	2.104
29089	UBE2T	ubiquitin conjugating enzyme E2 T	1.272	4.678	-1.546	7.457
54900	LAX1	lymphocyte transmembrane adaptor 1	-1.106	2.316	1.15	2.737
105371692	LOC105371692	uncharacterized LOC105371692	-1.253	4.577	1.181	4.549
10446	LRRN2	leucine rich repeat neuronal 2	-1.996	3.32	2.668	6.265
93273	LEMD1	LEM domain containing 1	4.179	7.236	-5.043	11.451
101669762	BLACAT1	BLACAT1 overlapping LEMD1 locus	3.969	9.246	-4.633	13.871
440712	RHEX	regulator of hemoglobinization and erythroid cell expansion	-1.305	2.453	2.351	7.665
105372857	LOC105372857	uncharacterized LOC105372857	-1.564	4.139	1.63	4.882
553	AVPR1B	arginine vasopressin receptor 1B	-2.355	2.311	3.505	4.905
729533	FAM72A	family with sequence similarity 72 member A	1.142	3.904	-1.599	8.101
9214	FCMR	Fc mu receptor	-1.177	3.268	1.245	4.017
1380	CR2	complement C3d receptor 2	-2.2	3.306	3.819	10.062
4751	NEK2	NIMA related kinase 2	1.108	2.877	-1.523	5.684
51514	DTL	denticleless E3 ubiquitin protein ligase homolog	1.275	4.587	-1.496	6.851
55248	PACC1	proton activated chloride channel 1	1.168	6.963	-1.302	9.409
79805	VASH2	vasohibin 2	1.527	4.786	-1.243	3.638
1063	CENPF	centromere protein F	1.199	3.301	-1.439	5.108
128153	SPATA17	spermatogenesis associated 17	1.092	2.851	-1.081	3.087
7042	TGFB2	transforming growth factor beta 2	1.316	3.377	-1.15	2.945
79762	C1orf115	chromosome 1 open reading frame 115	-1.537	4.68	1.364	4.186
127602	DNAH14	dynein axonemal heavy chain 14	1.125	6.222	-1.452	11.168
83881	MIXL1	Mix paired-like homeobox	-1.42	2.308	2.042	4.685
9816	URB2	URB2 ribosome biogenesis homolog	1.047	6.528	-1.251	10.059
375061	FAM89A	family with sequence similarity 89 member A	1.389	7.845	-1.747	13.58
100302132	MIR1182	microRNA 1182	1.472	5.986	-1.909	10.914
100506810	LINC01132	long intergenic non-protein coding RNA 1132	1.48	4.136	-1.678	5.786
2786	GNG4	G protein subunit gamma 4	1.916	3.163	-2.231	4.637
64388	GREM2	gremlin 2, DAN family BMP antagonist	-1.912	2.634	2.079	3.387
9156	EXO1	exonuclease 1	1.572	5.53	-1.785	7.76
55083	KIF26B	kinesin family member 26B	3.163	10.377	-3.157	11.423
57116	ZNF695	zinc finger protein 695	1.739	5.475	-1.963	7.606
100533111	ZNF670-ZNF695	ZNF670-ZNF695 readthrough (NMD candidate)	1.125	5.11	-1.199	6.358
107985747	LOC107985747	uncharacterized LOC107985747	-1.983	2.055	3.496	6.035
102724250	LOC102724250	neuroblastoma breakpoint family member 1-like	-1.262	5.561	1.781	11.768
101929531	LINC01871	long intergenic non-protein coding RNA 1871	-1.246	2.492	1.808	5.278
100506299	ID2-AS1	ID2 antisense RNA 1	-1.048	3.523	1.183	4.812
29841	GRHL1	grainyhead like transcription factor 1	1.692	5.936	-2.527	14.175
6241	RRM2	ribonucleotide reductase regulatory subunit M2	1.427	4.375	-1.547	5.64
105373424	LOC105373424	uncharacterized LOC105373424	1.215	2.151	-1.356	2.873
101929691	LOC101929691	uncharacterized LOC101929691	1.457	2.434	-2.197	5.725
105373428	LOC105373428	uncharacterized LOC105373428	1.146	3.172	-1.458	5.499
101929733	LINC01954	long intergenic non-protein coding RNA 1954	-1.992	2.839	2.682	5.05
7447	VSNL1	visinin like 1	1.615	4.12	-2.647	11.528
4148	MATN3	matrilin 3	2.428	5.545	-2.291	5.5
101929272	DTNB-AS1	DTNB antisense RNA 1	-1.346	4.839	1.544	6.816
339778	FAM166C	family with sequence similarity 166 member C	2.017	3.891	-2.38	5.867
1058	CENPA	centromere protein A	1.136	3.178	-1.285	4.416
10669	CGREF1	cell growth regulator with EF-hand domain 1	2.253	9.392	-2.745	15.362
8884	SLC5A6	solute carrier family 5 member 6	1.28	5.974	-1.818	12.86
57159	TRIM54	tripartite motif containing 54	2.397	3.892	-1.952	2.986
23160	WDR43	WD repeat domain 43	1.007	7.601	-1.244	12.657
92291	CAPN13	calpain 13	-1.509	2.446	1.801	3.705
79623	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	1.745	2.75	-1.593	2.578
5013	OTX1	orthodenticle homeobox 1	3.271	4.533	-2.757	3.679
102724233	LINC02576	long intergenic non-protein coding RNA 2576	-1.004	2.437	1.158	3.403
56902	PNO1	partner of NOB1 homolog	1.07	9.808	-1.341	16.989
200558	APLF	aprataxin and PNKP like factor	1.087	4.337	-1.177	5.572
4084	MXD1	MAX dimerization protein 1	-1.242	4.265	1.709	8.546
2016	EMX1	empty spiracles homeobox 1	-1.725	2.147	2.072	3.22
150726	FBXO41	F-box protein 41	1.123	4.152	-1.498	7.856
51471	NAT8B	N-acetyltransferase 8B (putative, gene/pseudogene)	-1.836	4.03	1.966	4.998
3196	TLX2	T cell leukemia homeobox 2	-1.3	2.323	2.392	7.141
54884	RETSAT	retinol saturase	-1.098	3.053	1.249	4.282
284948	SH2D6	SH2 domain containing 6	-2.294	2.815	2.327	3.201
105374852	LOC105374852	uncharacterized LOC105374852	1.089	2.726	-1.393	4.714
645784	ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2	-1.897	3.749	2.963	9.385
3514	IGKC	immunoglobulin kappa constant	-1.524	2.535	2.203	5.45
28946	IGKJ5	immunoglobulin kappa joining 5	-1.552	2.382	2.205	4.936
28947	IGKJ4	immunoglobulin kappa joining 4	-1.435	2.209	2.221	5.337
28948	IGKJ3	immunoglobulin kappa joining 3	-1.763	3.033	2.306	5.489
28949	IGKJ2	immunoglobulin kappa joining 2	-1.585	2.537	2.044	4.428
28950	IGKJ1	immunoglobulin kappa joining 1	-1.552	2.712	2.234	5.811
28907	IGKV5-2	immunoglobulin kappa variable 5-2	-1.894	2.698	2.829	6.126
28943	IGKV1-6	immunoglobulin kappa variable 1-6	-1.5	2.106	2.062	4.088
28941	IGKV1-9	immunoglobulin kappa variable 1-9	-1.642	2.387	2.226	4.549
28914	IGKV3-11	immunoglobulin kappa variable 3-11	-1.645	2.949	2.394	6.49
28940	IGKV1-12	immunoglobulin kappa variable 1-12	-1.801	3.138	2.155	4.829
28913	IGKV3-15	immunoglobulin kappa variable 3-15	-1.403	2.241	1.711	3.522
28923	IGKV2-24	immunoglobulin kappa variable 2-24	-1.568	2.423	2.956	8.48
28935	IGKV1-27	immunoglobulin kappa variable 1-27	-1.417	2.13	2.748	7.775
28921	IGKV2-28	immunoglobulin kappa variable 2-28	-1.58	2.179	2.116	4.042
28919	IGKV2-30	immunoglobulin kappa variable 2-30	-1.435	2.009	2.83	7.542
28916	IGKV2-40	immunoglobulin kappa variable 2-40	-1.975	3.158	2.383	4.841
28881	IGKV2D-30	immunoglobulin kappa variable 2D-30	-1.485	2.055	2.868	7.432
28883	IGKV2D-28	immunoglobulin kappa variable 2D-28	-1.603	2.2	2.15	4.096
28885	IGKV2D-24	immunoglobulin kappa variable 2D-24 (non-functional)	-1.427	2.122	2.868	8.224
28874	IGKV3D-20	immunoglobulin kappa variable 3D-20	-1.463	2.05	2.117	4.361
28888	IGKV2D-18	immunoglobulin kappa variable 2D-18 (pseudogene)	-2.21	2.166	4.055	6.496
28900	IGKV1D-17	immunoglobulin kappa variable 1D-17	-1.701	2.179	2.268	4.001
28875	IGKV3D-15	immunoglobulin kappa variable 3D-15	-1.482	2.311	1.808	3.635
28903	IGKV1D-12	immunoglobulin kappa variable 1D-12	-1.891	3.336	1.895	3.726
28876	IGKV3D-11	immunoglobulin kappa variable 3D-11	-1.457	2.214	2.314	5.6
28891	IGKV1D-43	immunoglobulin kappa variable 1D-43	-2.177	2.938	2.642	4.508
28877	IGKV3D-7	immunoglobulin kappa variable 3D-7	-1.7	2.626	2.515	5.822
645367	GGT8P	gamma-glutamyltransferase 8 pseudogene	-2.269	4.854	2.82	7.763
4118	MAL	mal, T cell differentiation protein	-1.512	2.073	2.806	6.73
23397	NCAPH	non-SMC condensin I complex subunit H	1.057	3.331	-1.195	4.631
26504	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	-1.066	3.819	1.64	9.41
3899	AFF3	ALF transcription elongation factor 3	-1.512	3.008	1.539	3.445
200407	CREG2	cellular repressor of E1A stimulated genes 2	1.96	2.962	-2.298	4.395
7850	IL1R2	interleukin 1 receptor type 2	-1.733	2.858	2.706	7.141
6549	SLC9A2	solute carrier family 9 member A2	-1.414	2.473	2.124	5.698
112268438	LOC112268438	uncharacterized LOC112268438	1.885	3.553	-2.027	4.505
7851	MALL	mal, T cell differentiation protein like	-1.349	3.762	2.326	11.53
699	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	1.193	3.649	-1.314	4.838
541471	MIR4435-2HG	MIR4435-2 host gene	1.148	5.383	-1.041	4.977
284958	NT5DC4	5'-nucleotidase domain containing 4	1.269	4.628	-1.815	10.111
150468	CKAP2L	cytoskeleton associated protein 2 like	1.449	5.244	-1.551	6.602
3552	IL1A	interleukin 1 alpha	3.478	7.244	-2.552	4.498
3553	IL1B	interleukin 1 beta	2.455	6.31	-1.485	2.797
3557	IL1RN	interleukin 1 receptor antagonist	2.306	4.557	-2.999	8.24
101927400	LINC02966	long intergenic non-protein coding RNA 2966	1.259	2.278	-1.94	5.571
140738	TMEM37	transmembrane protein 37	-1.534	4.459	1.526	4.909
105373582	LOC105373582	uncharacterized LOC105373582	2.39	6.942	-2.513	8.405
105373989	LOC105373989	putative cuticle collagen 91	1.781	2.788	-3.155	8.921
29798	C2orf27A	chromosome 2 open reading frame 27A	1.475	6.332	-1.756	9.699
4175	MCM6	minichromosome maintenance complex component 6	1.018	6.408	-1.126	8.553
3800	KIF5C	kinesin family member 5C	-1.509	2.585	2.708	8.246
7130	TNFAIP6	TNF alpha induced protein 6	2.111	5.53	-2.277	7.051
101929532	LOC101929532	uncharacterized LOC101929532	3.395	10.523	-3	9.109
2191	FAP	fibroblast activation protein alpha	3.928	17.875	-3.606	16.273
57405	SPC25	SPC25 component of NDC80 kinetochore complex	1.176	3.771	-1.373	5.568
440925	LINC01124	long intergenic non-protein coding RNA 1124	1.772	2.793	-1.612	2.611
389058	SP5	Sp5 transcription factor	2.118	3.195	-2.412	4.499
285141	ERICH2	glutamate rich 2	1.601	2.705	-1.677	3.254
2571	GAD1	glutamate decarboxylase 1	3.627	4.425	-3.113	3.717
51776	MAP3K20	mitogen-activated protein kinase kinase kinase 20	1.271	3.571	-1.056	2.853
339751	MAP3K20-AS1	MAP3K20 antisense RNA 1	1.619	5.7	-1.862	8.196
83879	CDCA7	cell division cycle associated 7	1.451	4.294	-1.585	5.612
107985961	LOC107985961		1.34	3.205	-1.552	4.658
401024	FSIP2	fibrous sheath interacting protein 2	-1.772	2.434	3.16	7.661
105373791	LOC105373791	uncharacterized LOC105373791	2.066	7.144	-1.032	2.246
1281	COL3A1	collagen type III alpha 1 chain	2.01	7.177	-1.081	2.567
100500837	MIR3606	microRNA 3606	1.972	6.645	-1.056	2.366
1290	COL5A2	collagen type V alpha 2 chain	1.972	9.037	-1.359	5.011
23671	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	-1.982	2.312	3.762	7.264
57181	SLC39A10	solute carrier family 39 member 10	1.341	7.845	-1.554	11.525
57520	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	1.685	8.842	-2.621	23.83
284992	CCDC150	coiled-coil domain containing 150	1.269	3.884	-1.8	8.284
3329	HSPD1	heat shock protein family D (Hsp60) member 1	1.142	6.119	-1.531	11.792
106635540	SNORA105B	small nucleolar RNA, H/ACA box 105B	1.027	4.648	-1.472	10.086
8828	NRP2	neuropilin 2	1.433	4.546	-1.21	3.722
2335	FN1	fibronectin 1	1.398	2.989	-2.581	10.255
112268430	LOC112268430		1.337	2.654	-2.424	8.72
105373869	LINC01614	long intergenic non-protein coding RNA 1614	5.001	10.462	-6.648	20.534
3579	CXCR2	C-X-C motif chemokine receptor 2	1.681	3.331	-1.564	3.25
3577	CXCR1	C-X-C motif chemokine receptor 1	1.924	3.468	-1.779	3.343
6556	SLC11A1	solute carrier family 11 member 1	2.702	9.968	-3.806	21.981
79586	CHPF	chondroitin polymerizing factor	1.185	4.678	-1.061	4.248
130612	TMEM198	transmembrane protein 198	1.109	4.43	-1.014	4.179
130340	AP1S3	adaptor related protein complex 1 subunit sigma 3	1.036	3.07	-1.202	4.462
5270	SERPINE2	serpin family E member 2	1.138	3.164	-1.177	3.743
1285	COL4A3	collagen type IV alpha 3 chain	-1.136	2.477	1.03	2.297
348761	SPATA3-AS1	SPATA3 antisense RNA 1 (head to head)	1.314	2.046	-1.468	2.736
10316	NMUR1	neuromedin U receptor 1	-1.013	3.029	1.377	5.81
9427	ECEL1	endothelin converting enzyme like 1	3.336	5.168	-2.403	3.139
54575	UGT1A10	UDP glucuronosyltransferase family 1 member A10	-1.713	3.009	1.426	2.414
55355	HJURP	Holliday junction recognition protein	1.374	4.714	-1.539	6.463
10267	RAMP1	receptor activity modifying protein 1	2.719	7.452	-1.991	4.637
151176	ERFE	erythroferrone	2.487	7.93	-2.471	8.662
100379249	BOK-AS1	BOK antisense RNA 1	1.292	3.047	-1.434	4.085
129807	NEU4	neuraminidase 4	-1.371	2.142	1.983	4.562
152330	CNTN4	contactin 4	-1.198	2.868	1.603	5.371
100873975	CNTN4-AS1	CNTN4 antisense RNA 1	-1.419	4.178	1.53	5.183
100507582	BHLHE40-AS1	BHLHE40 antisense RNA 1	1.137	4.379	-1.798	11.497
8553	BHLHE40	basic helix-loop-helix family member e40	1.272	4.969	-1.987	12.796
29995	LMCD1	LIM and cysteine rich domains 1	1.18	5.381	-1.351	7.667
5021	OXTR	oxytocin receptor	1.826	6.333	-2.527	13.139
63924	CIDEC	cell death inducing DFFA like effector c	-1.97	3.523	2.618	6.533
3656	IRAK2	interleukin 1 receptor associated kinase 2	1.116	3.994	-1.95	12.676
105376959	LOC105376959	uncharacterized LOC105376959	2.719	6.511	-3.171	9.617
6533	SLC6A6	solute carrier family 6 member 6	2.177	9.866	-2.71	16.887
80852	GRIP2	glutamate receptor interacting protein 2	1.778	7.452	-2.231	12.757
23228	PLCL2	phospholipase C like 2	-1.509	4.906	1.787	7.44
131096	KCNH8	potassium voltage-gated channel subfamily H member 8	1.558	3.951	-1.486	4.029
151648	SGO1	shugoshin 1	1.175	3.879	-1.258	4.887
100874028	SGO1-AS1	SGO1 antisense RNA 1	1.314	4.51	-1.344	5.212
7068	THRB	thyroid hormone receptor beta	-1.382	3.126	1.094	2.297
101928114	LINC01811	long intergenic non-protein coding RNA 1811	3.331	3.869	-4.095	6.323
9881	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1	-1.167	4.407	1.542	8.192
5333	PLCD1	phospholipase C delta 1	-1.282	5.061	1.954	12.411
1237	CCR8	C-C motif chemokine receptor 8	2.52	6.279	-3.052	10.002
4336	MOBP	myelin associated oligodendrocyte basic protein	-1.953	3.628	2.401	5.653
7433	VIPR1	vasoactive intestinal peptide receptor 1	-1.131	2.288	1.983	6.976
100874007	VIPR1-AS1	VIPR1 antisense RNA 1	-1.093	2.124	1.886	6.175
152206	CCDC13	coiled-coil domain containing 13	-1.285	4.338	1.391	5.513
25994	HIGD1A	HIG1 hypoxia inducible domain family member 1A	-1.153	6.061	1.213	7.371
7123	CLEC3B	C-type lectin domain family 3 member B	-1.562	2.854	2.645	8.287
54716	SLC6A20	solute carrier family 6 member 20	3.959	9.193	-3.309	7.254
102724297	CCR5AS	CCR5 antisense RNA	1.146	2.381	-1.031	2.171
79442	LRRC2	leucine rich repeat containing 2	1.214	3.003	-1.591	5.457
6997	TDGF1	teratocarcinoma-derived growth factor 1	2.129	5.578	-2.617	9.072
993	CDC25A	cell division cycle 25A	1.144	3.135	-1.44	5.298
1951	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	1.874	6.377	-2.277	10.149
100616112	MIR4793	microRNA 4793	1.858	3.747	-2.369	6.559
54106	TLR9	toll like receptor 9	-1.455	6.85	1.155	4.978
776	CACNA1D	calcium voltage-gated channel subunit alpha1 D	1.06	3.963	-1.028	4.167
353324	SPATA12	spermatogenesis associated 12	2.639	7.685	-2.882	10.065
200844	CFAP20DC	CFAP20 domain containing	1.54	3.264	-1.32	2.751
8618	CADPS	calcium dependent secretion activator	1.697	4.766	-1.617	4.851
317649	EIF4E3	eukaryotic translation initiation factor 4E family member 3	-1.101	4.215	1.622	9.577
2838	GPR15	G protein-coupled receptor 15	-2.251	3.125	3.833	9.212
1295	COL8A1	collagen type VIII alpha 1 chain	2.76	9.567	-1.751	4.544
101929357	HP09053	uncharacterized LOC101929357	1.245	6.54	-1.661	12.562
84319	CMSS1	cms1 ribosomal small subunit homolog	1.241	6.998	-1.677	13.807
25890	ABI3BP	ABI family member 3 binding protein	-1.278	2.621	2.138	7.383
11148	HHLA2	HERV-H LTR-associating 2	-1.777	3.047	2.928	8.456
22989	MYH15	myosin heavy chain 15	-1.349	3.02	2.264	8.534
57650	CIP2A	cellular inhibitor of PP2A	1.162	4.486	-1.331	6.403
151888	BTLA	B and T lymphocyte associated	-1.3	3.128	1.165	2.853
10721	POLQ	DNA polymerase theta	1.013	2.454	-1.262	4.018
111	ADCY5	adenylate cyclase 5	-1.895	6.329	2.174	9.027
200810	ALG1L1P	ALG1 like 1, pseudogene	1.311	3.995	-1.079	3.114
4171	MCM2	minichromosome maintenance complex component 2	1.03	4.268	-1.358	7.911
